,PC1,PC2
10317.000001000,-0.24671087843227799,-0.081179127024263
10317.000001001,0.16477619531594578,-0.06190805200224186
10317.000001002,-0.3165264376869588,-0.11497916350092961
10317.000001004,-0.09277347645737137,-0.07268013863717633
10317.000001008,-0.3708535820533536,-0.1795186554209647
10317.000001011,-0.04755075616158892,0.08377434375341389
10317.000001020,0.14376967678475241,0.19560113955259406
10317.000001022,0.18995349103651385,0.1431277917936292
10317.000001025,0.32308145674811417,-0.13240932873354283
10317.000001026,-0.0028542759479741327,0.1058226668964396
10317.000001028,0.06652832103456399,0.1449023829071162
10317.000001031,-0.29706780874020705,-0.08940490775708682
10317.000001032,-0.22338878217993066,-0.04780442848829647
10317.000001038,0.11555710919698192,0.1320503901980292
10317.000001041,0.29915214668718976,-0.289507770368285
10317.000001042,0.07933893266443914,0.022161919813134486
10317.000001044,-0.14559950450575157,0.058835427184585884
10317.000001046,0.1456668762190389,-0.09468122459870244
10317.000001047,-0.2450796181897652,-0.061865350088186305
10317.000001048,0.0027877065930045895,0.010874111676984698
10317.000001049,0.2762021062667322,0.05915662138049343
10317.000001056,-0.19020623673894882,0.030843939266023638
10317.000001058,-0.35639722063217394,-0.1282099786294279
10317.000001059,0.43632768545959155,-0.12735930195142817
10317.000001060,0.037149283029240365,0.1053861327862505
10317.000001062,-0.3189365900400438,-0.1577668121118074
10317.000001065,0.09425501877647327,-0.16362883356688482
10317.000001067,0.19335875992659782,-0.3962296587889832
10317.000001072,-0.21929997545980834,0.05472138861404651
10317.000001073,-0.2542470656096193,-0.017308617343242294
10317.000001077,0.4408549280269635,-0.08383998508608664
10317.000001078,-0.015851266919841556,-0.09198401493527586
10317.000001079,-0.01569265563967349,0.14828009240702472
10317.000001084,0.10664967489177185,-0.12980662078058364
10317.000001086,0.10996304722714138,-0.2943949028136207
10317.000001089,-0.1431028353010672,0.09556026791048894
10317.000001097,-0.21468533732859255,-0.045780976413425725
10317.000001098,-0.23106809261229663,-0.007856414431600345
10317.000001099,0.21566295959746165,0.0035142693995239283
10317.000001100,0.30436630059833414,-0.1531492558719443
10317.000001109,-0.09056990187022604,-0.1061435221913272
10317.000001111,0.09394669949197908,-0.06102785455680817
10317.000001115,0.40839126165255807,-0.37910981422091283
10317.000001116,-0.1572819873574962,-0.05686059177328937
10317.000001118,-0.07587652071930956,0.015052459204095273
10317.000001121,-0.13909569856005313,0.11284965322696419
